Chocolat(2000 film)	152699946	2000-12-15	https://en.wikipedia.org/wiki/Chocolat_(2000_film)
The World Is Not Enough	362000000.0	1999-11-08	https://en.wikipedia.org/wiki/The_World_Is_Not_Enough
Shakespeare in Love	289300000.0	1998-12-03	https://en.wikipedia.org/wiki/Shakespeare_in_Love
Mrs Brown	9200000.0	1997-07-18	https://en.wikipedia.org/wiki/Mrs_Brown
Tomorrow Never Dies	355000000.0	1997-12-09	https://en.wikipedia.org/wiki/Tomorrow_Never_Dies
Hamlet(1996 film)	4700000.0	1996-12-25	https://en.wikipedia.org/wiki/Hamlet_(1996_film)
GoldenEye	355000000.0	1995-11-13	https://en.wikipedia.org/wiki/GoldenEye
Henry V(1989 film)	10200000.0	1989-10-06	https://en.wikipedia.org/wiki/Henry_V_(1989_film)
A Room with a View(1985 film)	20966644	1985-12-13	https://en.wikipedia.org/wiki/A_Room_with_a_View_(1985_film)
The Next Best Thing	24362772	2000-03-03	https://en.wikipedia.org/wiki/The_Next_Best_Thing
Evita(1996 film)	141000000.0	1996-12-14	https://en.wikipedia.org/wiki/Evita_(1996_film)
Four Rooms	4257354	1995-12-25	https://en.wikipedia.org/wiki/Four_Rooms
Dangerous Game(1993 film)	23671	1993-09-10	https://en.wikipedia.org/wiki/Dangerous_Game_(1993_film)
Body of Evidence(1993 film)	13200000.0	1993-01-15	https://en.wikipedia.org/wiki/Body_of_Evidence_(1993_film)
A League of Their Own	132400000.0	1992-07-01	https://en.wikipedia.org/wiki/A_League_of_Their_Own
Shadows and Fog	2735731	1991-12-05	https://en.wikipedia.org/wiki/Shadows_and_Fog
Bloodhounds of Broadway(1989 film)	43671	1989-11-03	https://en.wikipedia.org/wiki/Bloodhounds_of_Broadway_(1989_film)
Who's That Girl(1987 film)	7300000.0	1987-08-07	https://en.wikipedia.org/wiki/Who%27s_That_Girl_(1987_film)
Desperately Seeking Susan	27398584	1985-03-29	https://en.wikipedia.org/wiki/Desperately_Seeking_Susan
Vision Quest	12993175	1985-02-15	https://en.wikipedia.org/wiki/Vision_Quest
Zoolander	60800000.0	2001-09-28	https://en.wikipedia.org/wiki/Zoolander
Daddy's Home 2	180600000.0	2017-11-05	https://en.wikipedia.org/wiki/Daddy%27s_Home_2
The House(2017 film)	34200000.0	2017-06-26	https://en.wikipedia.org/wiki/The_House_(2017_film)
Zoolander 2	56700000.0	2016-02-04	https://en.wikipedia.org/wiki/Zoolander_2
Daddy's Home(film)	242800000.0	2015-12-09	https://en.wikipedia.org/wiki/Daddy%27s_Home_(film)
Get Hard	111800000.0	2015-03-16	https://en.wikipedia.org/wiki/Get_Hard
The Lego Movie	470000000.0	2014-02-01	https://en.wikipedia.org/wiki/The_Lego_Movie
Anchorman 2: The Legend Continues	173600000.0	2013-11-24	https://en.wikipedia.org/wiki/Anchorman_2:_The_Legend_Continues
The Internship	93500000.0	2013-06-07	https://en.wikipedia.org/wiki/The_Internship
The Campaign(film)	104900000.0	2012-08-04	https://en.wikipedia.org/wiki/The_Campaign_(film)
Tim and Eric's Billion Dollar Movie	223580	2012-01-20	https://en.wikipedia.org/wiki/Tim_and_Eric%27s_Billion_Dollar_Movie
Casa de mi padre	8041667	2012-03-13	https://en.wikipedia.org/wiki/Casa_de_Mi_Padre
Everything Must Go(film)	2820490	2010-09-10	https://en.wikipedia.org/wiki/Everything_Must_Go_(film)
Megamind	321900000.0	2010-10-28	https://en.wikipedia.org/wiki/Megamind
The Other Guys	170400000.0	2010-08-02	https://en.wikipedia.org/wiki/The_Other_Guys
The Goods: Live Hard, Sell Hard	15300000.0	2009-08-14	https://en.wikipedia.org/wiki/The_Goods:_Live_Hard,_Sell_Hard
Land of the Lost(film)	68800000.0	2009-06-05	https://en.wikipedia.org/wiki/Land_of_the_Lost_(film)
